,summarization
162,"we stayed at 6 hotels during our stay in india and all the rest were good to pure luxury, this hotel is really a 1.5*, i couldtn give it even 2 stars. the air con was extremely noisy so we switched it off, but the humidity in the room was awful as there was no air or natural light."
163,"if you are gonna be out of the hotel during the entire day, then there is no point to spend a lot of money to the other 5 star hotels which you need to pay between 300-500 USD per night. it's at the Inner Circle of Connaught Place, where you can find many international fast food restaurants, shopping places, post office, etc.."
164,"the hotel was totally over-priced for the quality of the experience. it cost 5000 rps, plus tax, for a double room for one night, and was based on the latest review in Lonely Planet. the staff were friendly, but unhelpful. when we had problems they couldn't fix them."
165,the reception area is nice &amp; was being refurbished when we arrived. my room was in the main block and had no windows. it was very quiet. air con fan worked really well. the only problem was getting hot water. there was never any. a cold shower suited me fine. I would recommend this hotel to others.
166,"hotels in Delhi are overcharged and we didn't want to spend so much. we booked directly with their webpage and also payed for airport pick up, since we arrived late at night. the hotel is ok, the bed is clean but the bathroom is awful! no hot water and found many big insects at the shower."
167,"great place, good service, excellent oriental cusine at the restaurant called Bonsai. overall a very comfortable stay. keep it up!"
168,"price: excellent $90Location: Excellent - CentralService: Hospitality Redefined. New hotel, Great ServiceRooms: Small, but Reasonable – Neat, Clean and comfortable.they should show more of their room pics than passage photos on their website's'"
169,"we stayed here for 3 nights after arriving in india for a 3 week tour. the room was large but with grubby sheets,tepid water and the special bonus of blood stained towels! the breakfast which comes to room is only white sliced toast although we noticed Indian guests having cooked food in the corridor as there is no dining room."
170,"their motto is &quot;Hospitality Redefined'' which, after reading this personal account, is quite apt but for all the wrong reasons. the exhorbitant fee of U$155 nightly plus 1212% Delhi hotel tax fee includes phone bills charged to your room, no toilet paper, only Pepsi in the room bar and no offstreet parking."
171,"they have started charging on the Wi-Fi use, 100 rupees per day. double room price at 900, and although the rooms are reasonably clean and quite nice, most are nothing like the photos on their web site."
